,url,type,species,age,gender,size,coat,name,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.house_trained,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.full,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,animal_id,search_address,search_city,search_state
318,https://www.petfinder.com/dog/little-elsa-52318944/ca/del-mar/akarmic-connections-animal-rescue-ca2054/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Female,Medium,Short,Little Elsa,2021-07-12T01:16:21+0000,300.664,Labrador Retriever,0,True,False,Golden,0,0,False,False,True,True,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318944/1/?bust=1626051031,0,0,Del Mar,CA,92014,52318944,0,+Del+Mar,+CA
319,https://www.petfinder.com/dog/holly-and-iris-bonded-52319064/ca/tarzana/pawsitive-tails-to-remember-ca2577/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Female,Small,Short,Holly & Iris (Bonded),2021-07-12T01:07:32+0000,373.3573,Chihuahua,0,False,False,Golden,0,0,True,False,True,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319064/2/?bust=1626051962,0,0,Tarzana,CA,91335,52319064,0,+Tarzana,+CA
320,https://www.petfinder.com/dog/nevel-52319008/az/phoenix/povertys-pets-az330/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Male,Small,0,Nevel,2021-07-12T01:05:37+0000,1.3217,Dachshund,Chihuahua,True,False,Apricot / Beige,White / Cream,0,False,False,True,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319008/4/?bust=1626051306,PO Box 40122,0,Phoenix,AZ,85067,52319008,0,+Phoenix,+AZ
321,https://www.petfinder.com/dog/yuma-52319040/az/kirkland/peteys-playground-az439/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Small,0,Yuma,2021-07-12T01:04:30+0000,69.0349,Wirehaired Terrier,0,True,False,White / Cream,0,0,True,False,True,False,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319040/4/?bust=1626051447,0,0,Kirkland,AZ,86332,52319040,0,+Kirkland,+AZ
322,https://www.petfinder.com/dog/milo-52319054/ca/moreno-valley/tlc-of-ie-ca1282/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Male,Small,Long,Milo,2021-07-12T01:03:12+0000,298.6642,Terrier,0,True,False,Apricot / Beige,Bicolor,0,False,False,True,True,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319054/6/?bust=1626051708,0,0,Moreno Valley,CA,92557,52319054,0,+Moreno+Valley,+CA
323,https://www.petfinder.com/dog/brave-52318910/ca/los-angeles/i-stand-with-my-pack-ca2582/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Male,Medium,Short,Brave,2021-07-12T00:51:07+0000,370.297,Dalmatian,Pit Bull Terrier,True,False,Harlequin,0,0,True,False,True,True,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318910/2/crop/?bust=1626051284,0,0,Los Angeles,CA,90049,52318910,0,+Los+Angeles,+CA
324,https://www.petfinder.com/dog/mobius-star-52318998/az/tucson/pima-animal-care-center-az20/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Male,Small,0,MOBIUS*,2021-07-12T00:42:29+0000,101.5945,Terrier,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318998/1/?bust=1626051159,4000 N. Silverbell RD,0,Tucson,AZ,85745,52318998,4000+N.+Silverbell+RD,+Tucson,+AZ
325,https://www.petfinder.com/dog/oscar-52318994/nm/santa-fe/santa-fe-animal-shelter-and-humane-society-nm41/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Medium,0,OSCAR,2021-07-12T00:42:24+0000,375.6044,Siberian Husky,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318994/1/?bust=1626051157,100 Caja del Rio Road,0,Santa Fe,NM,87507,52318994,100+Caja+del+Rio+Road,+Santa+Fe,+NM
326,https://www.petfinder.com/dog/rosie-52318991/ca/chatsworth/city-of-los-angeles-west-valley-animal-shelter-ca765/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Female,Large,0,ROSIE,2021-07-12T00:42:22+0000,376.2018,Mixed Breed,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318991/1/?bust=1626051156,20655 Plummer Street,0,Chatsworth,CA,91311,52318991,20655+Plummer+Street,+Chatsworth,+CA
327,https://www.petfinder.com/dog/migo-52318990/ca/downey/l-dot-a-county-animal-care-and-control-downey-ca607/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Senior,Male,Medium,0,MIGO,2021-07-12T00:42:22+0000,350.5555,Shih Tzu,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318990/1/?bust=1626051160,11258 S. Garfield Avenue,0,Downey,CA,90242,52318990,11258+S.+Garfield+Avenue,+Downey,+CA
